   11.8750 MB /   1.00 sec =   99.6067 Mbps
   11.9375 MB /   1.00 sec =  100.1726 Mbps
   11.9375 MB /   1.01 sec =   99.5073 Mbps
   12.0000 MB /   0.99 sec =  101.3425 Mbps
   11.8125 MB /   1.00 sec =   98.6275 Mbps
   11.8750 MB /   1.00 sec =   99.6922 Mbps
   12.0000 MB /   1.00 sec =  101.0290 Mbps
   11.8750 MB /   1.00 sec =   99.5671 Mbps
   12.0000 MB /   1.00 sec =  100.6393 Mbps
   11.8125 MB /   1.00 sec =   99.1544 Mbps
   11.8125 MB /   1.00 sec =   99.0056 Mbps
   12.1250 MB /   1.00 sec =  101.6978 Mbps
   11.8750 MB /   1.01 sec =   98.8619 Mbps
   11.9375 MB /   1.00 sec =  100.4222 Mbps
   11.9375 MB /   1.00 sec =   99.9216 Mbps
   11.8750 MB /   1.00 sec =   99.4148 Mbps
   11.5625 MB /   0.99 sec =   97.9038 Mbps
   12.1875 MB /   1.00 sec =  102.0909 Mbps
   12.0625 MB /   1.00 sec =  100.7706 Mbps
   11.9375 MB /   0.99 sec =  100.7335 Mbps
   11.7500 MB /   1.00 sec =   98.6156 Mbps
   11.6875 MB /   1.00 sec =   97.8523 Mbps
   12.1875 MB /   1.00 sec =  102.4525 Mbps
   11.8750 MB /   1.01 sec =   98.9340 Mbps
   12.0000 MB /   0.99 sec =  101.3940 Mbps
   11.8750 MB /   1.00 sec =   99.5248 Mbps
   12.0000 MB /   1.00 sec =  100.5085 Mbps
   11.8750 MB /   1.00 sec =   99.7846 Mbps
   11.9375 MB /   1.00 sec =  100.1884 Mbps
   11.8750 MB /   1.00 sec =   99.6189 Mbps
   11.8750 MB /   1.00 sec =   99.4818 Mbps
   12.0000 MB /   1.00 sec =  100.3693 Mbps
   11.8750 MB /   1.00 sec =  100.0175 Mbps
   12.0000 MB /   1.01 sec =   99.8918 Mbps
   11.8750 MB /   1.01 sec =   98.9712 Mbps
   11.9375 MB /   0.99 sec =  101.2836 Mbps
   11.8125 MB /   1.00 sec =   98.6686 Mbps
   12.0625 MB /   0.99 sec =  101.9745 Mbps
   12.0000 MB /   1.00 sec =  100.5941 Mbps
   11.7500 MB /   1.00 sec =   98.3034 Mbps
   11.6875 MB /   1.02 sec =   96.3689 Mbps
   12.1250 MB /   0.98 sec =  103.5844 Mbps
   12.1250 MB /   1.00 sec =  101.5325 Mbps
   11.6875 MB /   1.00 sec =   98.3866 Mbps
   12.1250 MB /   1.00 sec =  101.4275 Mbps
   11.5000 MB /   1.00 sec =   96.6753 Mbps
   12.2500 MB /   1.00 sec =  102.7421 Mbps
   13.8125 MB /   1.16 sec =  100.0064 Mbps
    9.8125 MB /   0.84 sec =   97.9888 Mbps
   12.0625 MB /   1.00 sec =  100.8317 Mbps
   12.0625 MB /   1.00 sec =  101.5560 Mbps
   11.8750 MB /   1.00 sec =   99.4665 Mbps
   11.7500 MB /   1.01 sec =   97.2586 Mbps
   12.2500 MB /   0.99 sec =  104.0910 Mbps
   11.6250 MB /   1.01 sec =   96.4113 Mbps
   12.1250 MB /   0.99 sec =  102.6657 Mbps
   11.9375 MB /   1.00 sec =  100.2341 Mbps
   11.8125 MB /   1.00 sec =   99.3160 Mbps
   12.0000 MB /   1.01 sec =   99.5306 Mbps
   11.9375 MB /   0.99 sec =  100.7721 Mbps
   11.8750 MB /   1.00 sec =  100.0932 Mbps
   11.9375 MB /   1.00 sec =  100.2615 Mbps
   12.0000 MB /   1.00 sec =  100.3583 Mbps
   11.9375 MB /   1.00 sec =   99.7217 Mbps
   11.6875 MB /   1.00 sec =   98.2062 Mbps
   13.8125 MB /   1.15 sec =  100.6616 Mbps
   10.1250 MB /   0.84 sec =  100.5553 Mbps
   11.9375 MB /   1.01 sec =   99.6210 Mbps
   12.0000 MB /   1.00 sec =  100.4811 Mbps
   11.6875 MB /   0.99 sec =   98.7920 Mbps
   12.1250 MB /   1.00 sec =  101.7969 Mbps
   11.5000 MB /   1.00 sec =   96.3940 Mbps
   12.3125 MB /   1.00 sec =  103.0189 Mbps
   11.8125 MB /   1.00 sec =   99.3957 Mbps
   12.0000 MB /   1.00 sec =  100.5674 Mbps
   11.8750 MB /   1.00 sec =   99.3167 Mbps
   11.9375 MB /   1.01 sec =   99.5064 Mbps
   11.6250 MB /   0.99 sec =   98.5026 Mbps
   12.3750 MB /   1.00 sec =  103.9043 Mbps
   11.8750 MB /   1.00 sec =   99.5912 Mbps
   11.9375 MB /   1.00 sec =  100.1386 Mbps
   11.8750 MB /   1.00 sec =   99.5787 Mbps
   11.8750 MB /   1.00 sec =   99.5505 Mbps
   11.8750 MB /   1.00 sec =   99.6968 Mbps
   12.0625 MB /   1.00 sec =  101.0970 Mbps
   11.4375 MB /   1.00 sec =   95.7698 Mbps
   12.3750 MB /   1.00 sec =  104.0106 Mbps

 3576.3125 MB / 300.01 sec =   99.9986 Mbps 32 %TX 2 %RX 3.47 msRTT
