    3.5000 MB /   0.72 sec =   40.6691 Mbps
    4.6250 MB /   1.00 sec =   38.6994 Mbps
    4.8750 MB /   1.00 sec =   40.9379 Mbps
    6.9375 MB /   1.46 sec =   39.9167 Mbps
    2.6250 MB /   0.54 sec =   40.5894 Mbps
    4.8125 MB /   1.01 sec =   39.8543 Mbps
    5.0625 MB /   1.06 sec =   40.1087 Mbps
    4.5625 MB /   0.96 sec =   39.9589 Mbps
    5.0000 MB /   1.05 sec =   40.1027 Mbps
    4.4375 MB /   0.93 sec =   40.1986 Mbps
    5.3125 MB /   1.13 sec =   39.5840 Mbps
    4.1875 MB /   0.87 sec =   40.2565 Mbps
    4.8125 MB /   1.01 sec =   39.7988 Mbps
    4.7500 MB /   0.99 sec =   40.4064 Mbps
    4.7500 MB /   1.00 sec =   39.8679 Mbps
    5.8750 MB /   1.23 sec =   39.9639 Mbps
    3.6875 MB /   0.77 sec =   40.3769 Mbps
    5.3750 MB /   1.13 sec =   39.7280 Mbps
    4.1250 MB /   0.87 sec =   39.9930 Mbps
    4.7500 MB /   1.00 sec =   39.7763 Mbps
    4.8125 MB /   1.00 sec =   40.3674 Mbps
    4.7500 MB /   1.00 sec =   39.8376 Mbps
    6.5000 MB /   1.37 sec =   39.8523 Mbps
    3.9375 MB /   0.83 sec =   39.9301 Mbps
    3.8750 MB /   0.80 sec =   40.4752 Mbps
    4.8125 MB /   1.01 sec =   40.0657 Mbps
    4.6875 MB /   0.99 sec =   39.6420 Mbps
    4.7500 MB /   1.00 sec =   39.8815 Mbps
    8.0000 MB /   1.67 sec =   40.1335 Mbps
    1.5625 MB /   0.33 sec =   39.5530 Mbps
    4.8125 MB /   1.00 sec =   40.2740 Mbps
    5.9375 MB /   1.24 sec =   40.0174 Mbps
    3.5625 MB /   0.75 sec =   39.7468 Mbps
    4.8125 MB /   1.00 sec =   40.2834 Mbps
    4.7500 MB /   1.00 sec =   39.9642 Mbps
    5.3125 MB /   1.12 sec =   39.8089 Mbps
    6.6875 MB /   1.40 sec =   40.1175 Mbps
    2.3125 MB /   0.48 sec =   40.3425 Mbps
    4.7500 MB /   1.00 sec =   39.8383 Mbps
    4.7500 MB /   1.00 sec =   39.7528 Mbps
    4.8125 MB /   1.00 sec =   40.4279 Mbps
    4.6875 MB /   1.00 sec =   39.3316 Mbps
    4.8125 MB /   1.00 sec =   40.4246 Mbps
    4.8125 MB /   1.01 sec =   40.1648 Mbps
    5.6250 MB /   1.18 sec =   39.8306 Mbps
    4.3125 MB /   0.90 sec =   40.1443 Mbps
    4.3125 MB /   0.91 sec =   39.7140 Mbps
    4.8125 MB /   1.00 sec =   40.3605 Mbps
    4.7500 MB /   1.00 sec =   39.8423 Mbps
    5.3125 MB /   1.12 sec =   39.7089 Mbps
    4.2500 MB /   0.88 sec =   40.3033 Mbps
    4.7500 MB /   0.99 sec =   40.1340 Mbps
    4.7500 MB /   1.00 sec =   39.9221 Mbps
    4.7500 MB /   1.00 sec =   39.7491 Mbps
    6.0625 MB /   1.27 sec =   39.9983 Mbps
    3.5000 MB /   0.73 sec =   40.3269 Mbps
    7.7500 MB /   1.63 sec =   39.9908 Mbps
    1.8125 MB /   0.38 sec =   40.3377 Mbps
    7.7500 MB /   1.62 sec =   40.0660 Mbps
    1.7500 MB /   0.38 sec =   39.1468 Mbps
    4.8125 MB /   1.00 sec =   40.3278 Mbps
    4.7500 MB /   1.00 sec =   39.9179 Mbps
    4.7500 MB /   1.00 sec =   39.8783 Mbps

 1432.2500 MB / 300.37 sec =   39.9998 Mbps 99 %TX 0 %RX 1.88 msRTT
