    3.9375 MB /   0.82 sec =   40.0842 Mbps
    4.6875 MB /   0.99 sec =   39.8222 Mbps
    4.8125 MB /   1.00 sec =   40.3046 Mbps
    7.8750 MB /   1.66 sec =   39.8068 Mbps
    3.4375 MB /   0.72 sec =   40.1540 Mbps
    3.0000 MB /   0.62 sec =   40.4742 Mbps
    4.7500 MB /   1.00 sec =   39.7599 Mbps
    4.6875 MB /   0.99 sec =   39.6179 Mbps
    5.7500 MB /   1.20 sec =   40.1107 Mbps
    3.8125 MB /   0.81 sec =   39.2606 Mbps
    4.8750 MB /   1.00 sec =   40.8561 Mbps
    9.3750 MB /   1.97 sec =   39.9162 Mbps
    0.0000 MB /   0.02 sec =    0.0000 Mbps
    4.7500 MB /   1.00 sec =   39.9706 Mbps
    4.8125 MB /   1.00 sec =   40.4510 Mbps
    4.7500 MB /   1.00 sec =   39.7351 Mbps
    4.8125 MB /   1.00 sec =   40.3301 Mbps
    5.1250 MB /   1.07 sec =   40.0173 Mbps
    4.3750 MB /   0.92 sec =   39.7149 Mbps
    4.8125 MB /   1.00 sec =   40.4011 Mbps
    4.7500 MB /   1.00 sec =   39.8842 Mbps
    5.0625 MB /   1.06 sec =   40.2243 Mbps
    4.5000 MB /   0.94 sec =   39.9688 Mbps
    4.8750 MB /   1.02 sec =   39.9805 Mbps
    4.6875 MB /   0.98 sec =   40.2297 Mbps
    5.1875 MB /   1.09 sec =   39.8901 Mbps
    5.3125 MB /   1.12 sec =   39.9093 Mbps
    3.7500 MB /   0.79 sec =   39.7901 Mbps
    4.7500 MB /   1.00 sec =   39.8280 Mbps
    5.1250 MB /   1.07 sec =   40.1645 Mbps
    4.4375 MB /   0.93 sec =   40.0118 Mbps
    4.7500 MB /   1.00 sec =   39.8724 Mbps
    4.8125 MB /   1.00 sec =   40.3306 Mbps
    4.7500 MB /   1.00 sec =   39.8777 Mbps
    9.4375 MB /   1.98 sec =   40.0250 Mbps
    0.1250 MB /   0.02 sec =   49.0493 Mbps
    4.9375 MB /   1.05 sec =   39.6100 Mbps
    4.6250 MB /   0.97 sec =   40.2030 Mbps
    5.4375 MB /   1.14 sec =   40.0288 Mbps
    5.5000 MB /   1.15 sec =   40.0743 Mbps
    7.3750 MB /   1.57 sec =   39.4329 Mbps
    0.6875 MB /   0.14 sec =   42.0792 Mbps
    4.8125 MB /   0.99 sec =   40.6680 Mbps
    5.5000 MB /   1.15 sec =   40.0878 Mbps
    4.0000 MB /   0.85 sec =   39.5073 Mbps
    4.8125 MB /   1.00 sec =   40.3442 Mbps
    4.7500 MB /   1.00 sec =   39.8811 Mbps
    4.7500 MB /   1.00 sec =   39.8325 Mbps
    4.7500 MB /   1.00 sec =   39.8702 Mbps
    5.8125 MB /   1.22 sec =   39.9987 Mbps
    3.7500 MB /   0.78 sec =   40.2349 Mbps
    4.8125 MB /   1.00 sec =   40.3619 Mbps
    5.1250 MB /   1.08 sec =   39.8582 Mbps
    5.7500 MB /   1.21 sec =   40.0136 Mbps
    3.3750 MB /   0.72 sec =   39.4370 Mbps
    4.8125 MB /   1.00 sec =   40.4446 Mbps
    4.7500 MB /   1.00 sec =   39.7643 Mbps
    4.7500 MB /   1.00 sec =   39.7207 Mbps
    4.8125 MB /   1.00 sec =   40.5644 Mbps
    7.2500 MB /   1.53 sec =   39.8683 Mbps
    2.2500 MB /   0.47 sec =   39.7514 Mbps
    4.7500 MB /   1.00 sec =   39.8815 Mbps
    4.8125 MB /   1.00 sec =   40.3631 Mbps
    4.7500 MB /   1.00 sec =   39.7871 Mbps
    5.6250 MB /   1.18 sec =   39.9446 Mbps
    3.9375 MB /   0.82 sec =   40.4744 Mbps
    9.2500 MB /   1.94 sec =   39.9022 Mbps
    0.2500 MB /   0.06 sec =   37.7315 Mbps
    4.7500 MB /   1.00 sec =   39.8143 Mbps
    4.8125 MB /   1.00 sec =   40.3812 Mbps
    4.9375 MB /   1.04 sec =   39.8427 Mbps
    4.5625 MB /   0.97 sec =   39.5344 Mbps
    4.8125 MB /   0.99 sec =   40.6611 Mbps
    6.1250 MB /   1.30 sec =   39.6528 Mbps
    4.7500 MB /   0.99 sec =   40.2446 Mbps
    3.3750 MB /   0.71 sec =   39.6242 Mbps
    4.8125 MB /   1.00 sec =   40.1872 Mbps
    4.7500 MB /   1.00 sec =   39.8698 Mbps
    4.6875 MB /   1.00 sec =   39.4930 Mbps
    5.5000 MB /   1.14 sec =   40.4920 Mbps
    4.1250 MB /   0.86 sec =   40.2221 Mbps
    4.8125 MB /   1.00 sec =   40.2065 Mbps
    4.8125 MB /   1.01 sec =   39.9155 Mbps
    5.1250 MB /   1.08 sec =   39.9277 Mbps
    4.3750 MB /   0.92 sec =   39.9949 Mbps
    9.1250 MB /   1.91 sec =   40.1468 Mbps
    0.3750 MB /   0.09 sec =   36.4502 Mbps
    4.8125 MB /   1.00 sec =   40.1780 Mbps
    4.6875 MB /   1.00 sec =   39.5098 Mbps
    9.9375 MB /   2.09 sec =   39.9058 Mbps
    4.3125 MB /   0.91 sec =   39.8423 Mbps
    4.8125 MB /   1.00 sec =   40.3435 Mbps
    4.7500 MB /   1.00 sec =   39.8756 Mbps
    5.1875 MB /   1.07 sec =   40.5470 Mbps
    4.3125 MB /   0.93 sec =   38.9395 Mbps
    4.9375 MB /   1.01 sec =   40.9318 Mbps
    4.6875 MB /   0.99 sec =   39.8409 Mbps
    4.8750 MB /   1.03 sec =   39.8147 Mbps
    4.6250 MB /   0.97 sec =   39.9048 Mbps
    4.9375 MB /   1.03 sec =   40.3964 Mbps
   13.0625 MB /   2.75 sec =   39.8625 Mbps
    1.1250 MB /   0.23 sec =   41.2151 Mbps
    4.7500 MB /   1.00 sec =   39.8000 Mbps
    9.1250 MB /   1.90 sec =   40.2156 Mbps
    0.3750 MB /   0.09 sec =   33.8381 Mbps
    4.8125 MB /   1.00 sec =   40.3648 Mbps
    4.6875 MB /   1.00 sec =   39.3907 Mbps
    5.8125 MB /   1.20 sec =   40.5723 Mbps
    3.8125 MB /   0.80 sec =   39.9996 Mbps
    4.8750 MB /   1.03 sec =   39.8257 Mbps
    6.0000 MB /   1.27 sec =   39.7064 Mbps
    3.4375 MB /   0.71 sec =   40.7563 Mbps
    5.0000 MB /   1.05 sec =   39.7945 Mbps
    5.1875 MB /   1.09 sec =   39.9863 Mbps
    4.0625 MB /   0.86 sec =   39.7122 Mbps
    4.8125 MB /   1.00 sec =   40.4823 Mbps
    5.3125 MB /   1.12 sec =   39.9605 Mbps
    4.1875 MB /   0.88 sec =   39.7134 Mbps
    4.8125 MB /   1.00 sec =   40.1961 Mbps
    5.8125 MB /   1.22 sec =   39.8743 Mbps
    3.7500 MB /   0.78 sec =   40.5809 Mbps
    7.1250 MB /   1.50 sec =   39.7264 Mbps
    2.3750 MB /   0.50 sec =   40.1619 Mbps
    9.2500 MB /   1.93 sec =   40.1554 Mbps
    0.3125 MB /   0.08 sec =   34.9176 Mbps
    4.7500 MB /   0.99 sec =   40.2613 Mbps
    4.7500 MB /   1.00 sec =   39.7940 Mbps
    4.9375 MB /   1.05 sec =   39.3880 Mbps
    6.4375 MB /   1.33 sec =   40.4577 Mbps
    2.9375 MB /   0.62 sec =   39.9851 Mbps
    4.7500 MB /   1.00 sec =   39.8228 Mbps
    4.8125 MB /   1.00 sec =   40.4437 Mbps
    4.7500 MB /   1.00 sec =   39.9138 Mbps
    6.8125 MB /   1.43 sec =   39.9941 Mbps
    2.7500 MB /   0.58 sec =   39.4346 Mbps
    4.6250 MB /   0.99 sec =   39.1561 Mbps
    4.8750 MB /   0.99 sec =   41.1151 Mbps
    4.7500 MB /   1.00 sec =   39.8391 Mbps
    5.4375 MB /   1.14 sec =   40.0286 Mbps
    4.1250 MB /   0.87 sec =   39.9941 Mbps

 1431.5000 MB / 300.21 sec =   39.9996 Mbps 99 %TX 1 %RX 2.62 msRTT
